,baths,baths_1qtr,baths_3qtr,baths_full,baths_half,beds,city,garage,list_price,lot_sqft,name,sold_date,sold_price,sqft,stories,sub_type,type,year_built
48,2.0,0,0.0,2.0,0.0,2.0,Los Angeles,2.0,895000.0,18853.0,0,2021-09-01,895000.0,1181.0,2.0,condo,condos,1987.0
49,1.0,0,0.0,1.0,0.0,1.0,Los Angeles,0.0,379500.0,9453.0,0,2021-09-01,360750.0,450.0,1.0,condo,condos,1969.0
50,2.0,0,0.0,2.0,0.0,4.0,Los Angeles,2.0,775000.0,7500.0,0,2021-09-01,835000.0,1701.0,1.0,0,single_family,1976.0
51,1.0,0,0.0,1.0,0.0,2.0,Los Angeles,0.0,850000.0,1965.0,0,2021-09-01,930000.0,704.0,1.0,0,single_family,1926.0
52,4.0,0,0.0,3.0,1.0,4.0,Los Angeles,3.0,3295000.0,2901.0,0,2021-09-01,3175000.0,4362.0,3.0,0,single_family,1989.0
53,3.0,0,0.0,3.0,0.0,4.0,Los Angeles,2.0,1995000.0,6120.0,0,2021-09-01,2155000.0,2685.0,2.0,0,single_family,1935.0
54,1.0,0,0.0,1.0,0.0,2.0,Los Angeles,0.0,499999.0,3511.0,0,2021-09-01,540000.0,924.0,1.0,0,single_family,1948.0
55,0.0,0,0.0,0.0,0.0,0.0,Los Angeles,0.0,695000.0,72091.0,0,2021-09-01,570000.0,0.0,0.0,0,land,0.0
56,7.0,0,0.0,5.0,2.0,5.0,Los Angeles,2.0,4550000.0,10833.0,0,2021-09-01,4776000.0,5914.0,2.0,0,single_family,1921.0
57,2.0,0,0.0,2.0,0.0,2.0,Los Angeles,0.0,499000.0,33580.0,0,2021-09-01,590000.0,994.0,1.0,condo,condos,1973.0
58,2.0,0,0.0,2.0,0.0,3.0,Los Angeles,2.0,849000.0,11247.0,0,2021-09-01,920000.0,1710.0,1.0,0,single_family,1962.0
59,1.0,0,0.0,1.0,0.0,2.0,Los Angeles,2.0,1350000.0,4402.0,0,2021-09-01,1350000.0,929.0,1.0,0,single_family,1946.0
60,1.0,0,0.0,1.0,0.0,1.0,Los Angeles,1.0,465000.0,142790.0,0,2021-09-01,450000.0,780.0,1.0,condo,condos,1970.0
61,2.0,0,0.0,2.0,0.0,3.0,Los Angeles,2.0,695000.0,8252.0,0,2021-09-01,800000.0,1192.0,1.0,0,single_family,1955.0
62,2.0,0,0.0,2.0,0.0,3.0,Los Angeles,0.0,2495000.0,6103.0,0,2021-09-01,2729000.0,2113.0,1.0,0,single_family,1926.0
63,6.0,0,0.0,5.0,1.0,4.0,Los Angeles,2.0,4595000.0,4835.0,0,2021-09-01,4495000.0,4280.0,3.0,0,single_family,2016.0
64,2.0,0,0.0,2.0,0.0,4.0,Los Angeles,2.0,820000.0,5282.0,0,2021-09-01,824000.0,1425.0,1.0,0,single_family,1961.0
65,0.0,0,0.0,0.0,0.0,0.0,Los Angeles,6.0,1600000.0,7645.0,0,2021-09-01,1430000.0,6062.0,2.0,0,multi_family,1979.0
66,2.0,0,0.0,2.0,0.0,3.0,Los Angeles,0.0,1670000.0,10785.0,0,2021-09-01,1940000.0,2591.0,1.0,0,single_family,1946.0
67,2.0,0,0.0,2.0,0.0,4.0,Los Angeles,0.0,845000.0,7556.0,0,2021-09-01,800000.0,1921.0,1.0,0,single_family,1964.0
68,3.0,0,0.0,2.0,1.0,3.0,Los Angeles,0.0,1399000.0,5366.0,0,2021-09-01,1305000.0,1989.0,0.0,0,single_family,1934.0
69,5.0,0,0.0,4.0,1.0,4.0,Los Angeles,0.0,1785000.0,5999.0,0,2021-09-01,1850000.0,2218.0,1.0,0,single_family,1948.0
70,6.0,0,0.0,6.0,0.0,7.0,Los Angeles,0.0,1174777.0,6753.0,0,2021-09-01,1235000.0,2748.0,2.0,townhouse,duplex_triplex,1951.0
71,3.0,0,0.0,3.0,0.0,3.0,Los Angeles,2.0,1249000.0,17998.0,0,2021-09-01,1320000.0,2162.0,1.0,0,single_family,1954.0
72,2.0,0,1.0,1.0,0.0,3.0,Los Angeles,2.0,789000.0,7360.0,0,2021-09-01,785000.0,1160.0,1.0,0,single_family,1960.0
73,1.0,0,0.0,1.0,0.0,1.0,Los Angeles,2.0,399000.0,56997.0,0,2021-09-01,390000.0,776.0,1.0,condo,condos,1983.0
74,3.0,0,0.0,2.0,1.0,4.0,Los Angeles,2.0,787900.0,21801.0,0,2021-09-01,779400.0,2082.0,2.0,townhouse,townhomes,1998.0
75,2.0,0,0.0,2.0,0.0,4.0,Los Angeles,2.0,765000.0,13392.0,0,2021-09-01,795000.0,1708.0,1.0,0,single_family,1977.0
76,3.0,0,0.0,2.0,1.0,2.0,Los Angeles,2.0,399900.0,45506.0,0,2021-09-01,440000.0,1138.0,2.0,townhouse,townhomes,1980.0
77,0.0,0,0.0,0.0,0.0,0.0,Los Angeles,0.0,22900.0,91171.0,0,2021-09-01,14000.0,0.0,0.0,0,land,0.0
78,3.0,0,0.0,2.0,1.0,2.0,Los Angeles,0.0,450000.0,20918.0,0,2021-09-01,460000.0,1316.0,2.0,townhouse,townhomes,1980.0
79,1.0,0,0.0,1.0,0.0,0.0,Los Angeles,0.0,399000.0,86423.0,0,2021-09-01,395000.0,513.0,1.0,condo,condos,1974.0
80,1.0,0,0.0,1.0,0.0,3.0,Los Angeles,2.0,699000.0,7974.0,0,2021-09-01,525000.0,1186.0,2.0,0,single_family,1949.0
81,1.0,0,0.0,1.0,0.0,3.0,Los Angeles,0.0,439000.0,2250.0,0,2021-08-31,860000.0,1066.0,1.0,0,single_family,1921.0
82,2.0,0,1.0,1.0,0.0,2.0,Los Angeles,2.0,649000.0,8366.0,0,2021-08-31,740000.0,1000.0,1.0,0,single_family,1952.0
83,1.0,0,0.0,1.0,0.0,1.0,Los Angeles,0.0,370000.0,2200.0,0,2021-08-31,370000.0,576.0,1.0,0,single_family,1920.0
84,1.0,0,0.0,1.0,0.0,3.0,Los Angeles,2.0,519950.0,7149.0,0,2021-08-31,558000.0,1152.0,1.0,0,single_family,1948.0
85,3.0,0,1.0,2.0,0.0,4.0,Los Angeles,3.0,799900.0,8180.0,0,2021-08-31,1005000.0,2203.0,2.0,0,single_family,1967.0
86,1.0,0,0.0,1.0,0.0,2.0,Los Angeles,3.0,1325000.0,7500.0,0,2021-08-31,1325000.0,2183.0,2.0,0,single_family,1923.0
87,2.0,0,0.0,2.0,0.0,3.0,Los Angeles,2.0,819990.0,7679.0,0,2021-08-31,870000.0,1731.0,1.0,0,single_family,1954.0
88,2.0,0,1.0,0.0,1.0,2.0,Los Angeles,0.0,650000.0,4321.0,0,2021-08-31,680000.0,828.0,1.0,0,single_family,1922.0
89,0.0,0,0.0,0.0,0.0,0.0,Los Angeles,2.0,478900.0,5234.0,0,2021-08-31,390000.0,0.0,2.0,0,multi_family,1930.0
90,3.0,0,0.0,3.0,0.0,2.0,Los Angeles,2.0,1149900.0,2029.0,0,2021-08-31,1124000.0,1325.0,3.0,0,single_family,1924.0
91,3.0,0,0.0,3.0,0.0,3.0,Los Angeles,0.0,1875000.0,6752.0,0,2021-08-31,1862500.0,2363.0,2.0,0,single_family,1936.0
92,3.0,0,0.0,3.0,0.0,5.0,Los Angeles,1.0,879000.0,7388.0,0,2021-08-31,875000.0,2102.0,1.0,0,multi_family,1924.0
93,2.0,0,1.0,1.0,0.0,2.0,Los Angeles,2.0,1575000.0,5357.0,0,2021-08-31,1600000.0,1531.0,2.0,0,single_family,1920.0
94,1.0,0,0.0,1.0,0.0,3.0,Los Angeles,0.0,525000.0,5171.0,0,2021-08-31,550000.0,1372.0,1.0,0,single_family,1914.0
95,2.0,0,1.0,1.0,0.0,3.0,Los Angeles,2.0,639888.0,8406.0,0,2021-08-31,685000.0,1153.0,1.0,0,single_family,1956.0
